,anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
12764,12189,Hyouka,Hyouka,氷菓,"Hyou-ka, Hyouka: You can&#039;t escape, Hyou-ka: You can&#039;t escape, Hyoka",https://myanimelist.cdn-dena.com/images/anime/13/50521.jpg,TV,Novel,22,Finished Airing,False,"Apr 23, 2012 to Sep 17, 2012","{'from': '2012-04-23', 'to': '2012-09-17'}",25 min. per ep.,PG-13 - Teens 13 or older,8.15,241642,372.0,73,530071,11993,"The first episode received an early screening at a special event held at Kadokawa Cinema Shinjuku on April 14, 2012. The regular TV broadcast started on April 23, 2012. ",Spring 2012,Unknown,"{'Adaptation': [{'mal_id': 35513, 'type': 'manga', 'url': 'https://myanimelist.net/manga/35513/Koten-bu_Series', 'title': 'Koten-bu Series'}], 'Side story': [{'mal_id': 13469, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13469/Hyouka__Motsubeki_Mono_wa', 'title': 'Hyouka: Motsubeki Mono wa'}]}","Lantis, Kadokawa Shoten, KlockWorx, chara-ani.com, Animation Do",Funimation,Kyoto Animation,"Mystery, School, Slice of Life","['#1: ""Yasashisa no Riyuu (優しさの理由)"" by ChouCho (eps 1-2, 4, 6-8, 10-11)', '#2: ""Mikansei Stride (未完成ストライド)"" by Saori Kodama (eps 13-16, 18-20, 22)']","['#1: ""Madoromi no Yakusoku (まどろみの約束)"" by Satomi Satou & Ai Kayano (eps 2-4, 6-11)', '#2: ""Kimi ni Matsuwaru Mystery (君にまつわるミステリー)"" by Satomi Satou & Ai Kayano (eps 12-14, 16, 18, 20-22)']"
12776,17074,Monogatari Series: Second Season,Monogatari Series: Second Season,〈物語〉シリーズ セカンドシーズン,"Nekomonogatari: Shiro, Kabukimonogatari: Mayoi Jianshi, Otorimonogatari, Onimonogatari, Koimonogatari",https://myanimelist.cdn-dena.com/images/anime/3/52133.jpg,TV,Light novel,26,Finished Airing,False,"Jul 7, 2013 to Dec 29, 2013","{'from': '2013-07-07', 'to': '2013-12-29'}",24 min. per ep.,R - 17+ (violence & profanity),8.77,161651,32.0,207,303614,11893,"The series is composed of 23 episodes adapted from the novels and 3 summary episodes. 5 of the 6 novels of the Monogatari Series: Second Season light novel series were adapted, while the 3rd novel, Hanamonogatari, was aired separately in August 2014.",Summer 2013,Sundays at 00:00 (JST),"{'Adaptation': [{'mal_id': 23751, 'type': 'manga', 'url': 'https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season', 'title': 'Monogatari Series: Second Season'}], 'Prequel': [{'mal_id': 11597, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11597/Nisemonogatari', 'title': 'Nisemonogatari'}], 'Sequel': [{'mal_id': 28025, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28025/Tsukimonogatari', 'title': 'Tsukimonogatari'}], 'Side story': [{'mal_id': 31181, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31181/Owarimonogatari', 'title': 'Owarimonogatari'}, {'mal_id': 32268, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32268/Koyomimonogatari', 'title': 'Koyomimonogatari'}]}","Aniplex, Kodansha, Cyclone Graphics inc",Aniplex of America,Shaft,"Mystery, Comedy, Supernatural, Romance, Vampire","['#1: ""chocolate insomnia"" by Tsubasa Hanekawa (Yui Horie) (TV: eps 1-2, 4; BD/DVD: eps 1-5)', '#2: ""happy bite"" by Mayoi Hachikuji (Emiri Kato) (TV: eps 8-9; BD/DVD: eps 7-10)', '#3: ""Mousou♡Express (もうそう♡えくすぷれす)"" by Nadeko Sengoku (Kana Hanazawa) (TV: eps 12, 14; BD/DVD: eps 12-15)', '#4: ""white lies"" by Hiroaki Miyakoshi and Shigeru Yamada (Tokyo Philharmonic Chorus) (BD/DVD: eps 17-20)', '#5: ""fast love"" by Hitagi Senjougahara (Chiwa Saito) (BD/DVD: eps 21-23)', '#6: ""Kogarashi Sentiment (木枯らしセンティメント)"" by Hitagi Senjougahara (Chiwa Saito) and Deishu Kaiki (Shinichiro Miki) (TV: eps 23-25; BD/DVD: eps 24-26)']","['#1: ""Ai wo Utae (アイヲウタエ)"" by Luna Haruna (eps 1-10)', '#2: ""Kimi no Shiranai Monogatari (君の知らない物語)"" by supercell (ep 11)', '#3: ""Sono Koe wo Oboeteru (その声を覚えてる)"" by Marina Kawano (eps 12-20)', '#4: ""snowdrop"" by Luna Haruna × Marina Kawano (eps 21-25)']"
12799,14075,Zetsuen no Tempest,Blast of Tempest,絶園のテンペスト,Zetsuen no Tempest: The Civilization Blaster,https://myanimelist.cdn-dena.com/images/anime/7/42453.jpg,TV,Manga,24,Finished Airing,False,"Oct 5, 2012 to Mar 29, 2013","{'from': '2012-10-05', 'to': '2013-03-29'}",24 min. per ep.,PG-13 - Teens 13 or older,8.11,160453,432.0,157,344760,5454,"Zetsuen no Tempest draws heavily on two Shakespeare plays, Hamlet and The Tempest. The series was simulcast on Crunchyroll.",Fall 2012,Fridays at 02:00 (JST),"{'Adaptation': [{'mal_id': 15205, 'type': 'manga', 'url': 'https://myanimelist.net/manga/15205/Zetsuen_no_Tempest', 'title': 'Zetsuen no Tempest'}]}","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System, Yahoo! Japan",Aniplex of America,Bones,"Action, Mystery, Psychological, Drama, Magic, Fantasy, Shounen","['#1: ""Spirit Inspiration"" by Nothing&#039;s Carved In Stone (eps 2-12)', '#2: ""Daisuki nano ni (大好きなのに)"" by Kylee (eps 14-23)']","['#1: ""Spirit Inspiration"" by Nothing&#039;s Carved in Stone (ep 1)', '#2: ""happy endings"" by Kana Hanazawa (eps 2-11)', '#3: ""Boku-tachi no Uta (僕たちの歌)"" by Tomohisa Sako (eps 13-24)']"
12827,2418,Stranger: Mukou Hadan,Sword of the Stranger,ストレンヂア -無皇刃譚-,,https://myanimelist.cdn-dena.com/images/anime/9/87066.jpg,Movie,Original,1,Finished Airing,False,"Sep 29, 2007","{'from': '2007-09-29', 'to': '2007-09-29'}",1 hr. 43 min.,R - 17+ (violence & profanity),8.4,93041,169.0,463,173994,2064,"Stranger: Mukou Hadan won the award for Best Animated Feature at Brazil&#039;s International Fantastic Film Festival and was nominated for the same categories at the Asia Pacific Screen Awards and 81st Academy Awards. It also won the 2009 ""Menzione Speciale"" recognition at Italy&#039;s Future Film Festival. ",,,"{'Adaptation': [{'mal_id': 78659, 'type': 'manga', 'url': 'https://myanimelist.net/manga/78659/Stranger__Mukou_Hadan', 'title': 'Stranger: Mukou Hadan'}], 'Other': [{'mal_id': 14617, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14617/Stranger__Mukou_Hadan_Pilot', 'title': 'Stranger: Mukou Hadan Pilot'}]}","Bandai Visual, Shochiku, Sony Music Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Bones,"Action, Adventure, Historical, Samurai",[],[]
12857,1943,Paprika,Paprika,パプリカ,,https://myanimelist.cdn-dena.com/images/anime/6/3627.jpg,Movie,Novel,1,Finished Airing,False,"Nov 25, 2006","{'from': '2006-11-25', 'to': '2006-11-25'}",1 hr. 30 min.,R+ - Mild Nudity,8.12,124537,416.0,308,230755,2211,"Paprika was director Satoshi Kon&#039;s last feature film before his death in 2010. It won several awards around the world, including the Tokyo Anime Award for Best Music in 2007 and the Newport Beach Film Festival for best animated feature film in 2007.A live action adaptation was planned with Wolfgang Petersen (The Never Ending Story, Troy), but the project appears to have been scrapped.",,,"{'Adaptation': [{'mal_id': 83895, 'type': 'manga', 'url': 'https://myanimelist.net/manga/83895/Paprika', 'title': 'Paprika'}, {'mal_id': 83897, 'type': 'manga', 'url': 'https://myanimelist.net/manga/83897/Paprika__The_Dream-Child', 'title': 'Paprika: The Dream-Child'}]}","Sony Pictures Entertainment, Cyclone Graphics inc",,Madhouse,"Sci-Fi, Mystery, Dementia, Horror, Psychological, Thriller, Fantasy","['""Mediational Field"" by Susumu Hirasawa']","['\t白虎野の娘 (Byakkoya no Musume) by Hirasawa Susumu', '""Byakkoya (白虎野)"" by Susumu Hirasawa']"
12859,263,Hajime no Ippo,Fighting Spirit,はじめの一歩 THE FIGHTING!,"The First Step, Hajime no Ippo: The Fighting",https://myanimelist.cdn-dena.com/images/anime/10/2025.jpg,TV,Manga,75,Finished Airing,False,"Oct 4, 2000 to Mar 27, 2002","{'from': '2000-10-04', 'to': '2002-03-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.8,116681,28.0,313,229504,10765,,Fall 2000,Tuesdays at 00:50 (JST),"{'Adaptation': [{'mal_id': 7, 'type': 'manga', 'url': 'https://myanimelist.net/manga/7/Hajime_no_Ippo', 'title': 'Hajime no Ippo'}], 'Sequel': [{'mal_id': 264, 'type': 'anime', 'url': 'https://myanimelist.net/anime/264/Hajime_no_Ippo__Champion_Road', 'title': 'Hajime no Ippo: Champion Road'}], 'Side story': [{'mal_id': 12069, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12069/Hajime_no_Ippo__Boxer_no_Kobushi', 'title': 'Hajime no Ippo: Boxer no Kobushi'}]}",VAP,Geneon Entertainment USA,Madhouse,"Comedy, Sports, Drama, Shounen","['#1: ""Under Star"" by Shocking Lemons (eps 1-25)', '#2: ""Inner Light"" by Shocking Lemons (eps 26-52)', '#3: ""Tumbling Dice"" by Tsuneo Imahori (eps 53-75)']","['#1: ""Yuuzora no Kamihikouki"" by Naoya Mori (eps 1-25)', '#2: ""360°"" by Naoya Mori (eps 26-52, 75)', '#3: ""Eternal Loop"" by Saber Tiger (eps 53-74)']"
12937,3002,Gyakkyou Burai Kaiji: Ultimate Survivor,Kaiji: Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,"Tobaku Mokushiroku Kaiji, The Suffering Pariah Kaiji",https://myanimelist.cdn-dena.com/images/anime/12/80032.jpg,TV,Manga,26,Finished Airing,False,"Oct 3, 2007 to Apr 2, 2008","{'from': '2007-10-03', 'to': '2008-04-02'}",23 min. per ep.,R - 17+ (violence & profanity),8.32,70767,218.0,555,147559,4856,,Fall 2007,Unknown,"{'Adaptation': [{'mal_id': 3572, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji', 'title': 'Tobaku Mokushiroku Kaiji'}], 'Sequel': [{'mal_id': 10271, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10271/Gyakkyou_Burai_Kaiji__Hakairoku-hen', 'title': 'Gyakkyou Burai Kaiji: Hakairoku-hen'}], 'Spin-off': [{'mal_id': 37338, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37338/Chuukan_Kanriroku_Tonegawa', 'title': 'Chuukan Kanriroku Tonegawa'}]}","VAP, Nippon Television Network",,Madhouse,"Game, Psychological, Seinen, Thriller","['""Mirai wa Bokura no Te no Naka"" by Kaiji with Redbourn Cherries']","['""Makeinu-tachi no Requiem (負け犬達のレクイエム)"" by Hakuryuu']"
12938,4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,天元突破グレンラガン 螺巌篇,Tengen Toppa Gurren Lagann Movie 2,https://myanimelist.cdn-dena.com/images/anime/12/19698.jpg,Movie,Original,1,Finished Airing,False,"Apr 22, 2009","{'from': '2009-04-22', 'to': '2009-04-22'}",2 hr. 5 min.,R+ - Mild Nudity,8.62,55073,67.0,759,114333,551,,,,"{'Alternative version': [{'mal_id': 2001, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann', 'title': 'Tengen Toppa Gurren Lagann'}], 'Prequel': [{'mal_id': 4107, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4107/Tengen_Toppa_Gurren_Lagann_Movie_1__Gurren-hen', 'title': 'Tengen Toppa Gurren Lagann Movie 1: Gurren-hen'}]}",Aniplex,Aniplex of America,Gainax,"Action, Sci-Fi, Space, Super Power, Mecha",[],"['""Namida no Tane, Egao no Hana (涙の種、笑顔の花)"" by Shoko Nakagawa']"
12967,28223,Death Parade,Death Parade,デス・パレード,,https://myanimelist.cdn-dena.com/images/anime/5/71553.jpg,TV,Original,12,Finished Airing,False,"Jan 10, 2015 to Mar 28, 2015","{'from': '2015-01-10', 'to': '2015-03-28'}",23 min. per ep.,R - 17+ (violence & profanity),8.27,371287,262.0,47,647590,12826,"Death Parade spawned from the short film Death Billiards, which was part of the Young Animator Training Project&#039;s Anime Mirai 2013.",Winter 2015,Saturdays at 01:58 (JST),"{'Alternative version': [{'mal_id': 14353, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14353/Death_Billiards', 'title': 'Death Billiards'}]}","VAP, DAX Production, Nippon Television Network",Funimation,Madhouse,"Game, Mystery, Psychological, Drama, Thriller","['""Flyers"" by BRADIO']","['""Last Theater"" by NoisyCell']"
12999,28025,Tsukimonogatari,Tsukimonogatari,憑物語,"Tsukimonogatari: Yotsugi Doll, Monogatari Final Season",https://myanimelist.cdn-dena.com/images/anime/6/68259.jpg,TV,Light novel,4,Finished Airing,False,"Dec 31, 2014","{'from': '2015-12-31', 'to': '2015-12-31'}",24 min. per ep.,R - 17+ (violence & profanity),8.19,100529,329.0,443,179507,527,"Tsukimonogatari is set after Koimonogatari (Hitagi End arc) of Monogatari Series Second Season, but prior to the events of Hanamonogatari. ",Fall 2014,Wednesdays at 22:00 (JST),"{'Adaptation': [{'mal_id': 44227, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season', 'title': 'Monogatari Series: Final Season'}], 'Prequel': [{'mal_id': 17074, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season', 'title': 'Monogatari Series: Second Season'}], 'Sequel': [{'mal_id': 31181, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31181/Owarimonogatari', 'title': 'Owarimonogatari'}], 'Other': [{'mal_id': 32191, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32191/Okitegami_Kyouko_no_Bibouroku_x_Monogatari', 'title': 'Okitegami Kyouko no Bibouroku x Monogatari'}]}",Aniplex,Aniplex of America,Shaft,"Mystery, Comedy, Supernatural, Ecchi","['""Orange Mint (オレンジミント)"" by Yotsugi Ononoki (Saori Hayami)']","['""border"" by ClariS']"
13072,5365,Tsumiki no Ie,La Maison en Petits Cubes,つみきのいえ,The House of Small Cubes,https://myanimelist.cdn-dena.com/images/anime/13/13357.jpg,Movie,Original,1,Finished Airing,False,"Jun 10, 2008","{'from': '2008-06-10', 'to': '2008-06-10'}",12 min.,G - All Ages,8.19,34896,330.0,1366,58598,376,"In 2008, Tsumiki no Ie won multiple awards, including the Academy Award for Best Animated Short Film and the Annecy Cristal prize for short films. The film also won prizes at the Hiroshima International Animation Festival and the Japan Media Arts Festival.",,,[],Robot Communications,,Oh! Production,Drama,[],[]
13122,1363,Detective Conan Movie 04: Captured in Her Eyes,Case Closed Movie 4: Captured In Her Eyes,瞳の中の暗殺者,"Meitantei Conan: Hitomi no Naka no Ansatsusha, Detective Conan Movie 4",https://myanimelist.cdn-dena.com/images/anime/10/15429.jpg,Movie,Manga,1,Finished Airing,False,"Apr 22, 2000","{'from': '2000-04-22', 'to': '2000-04-22'}",1 hr. 40 min.,PG-13 - Teens 13 or older,8.15,20308,367.0,1993,33106,54,,,,"{'Parent story': [{'mal_id': 235, 'type': 'anime', 'url': 'https://myanimelist.net/anime/235/Detective_Conan', 'title': 'Detective Conan'}]}",Polygram Japan,Funimation,TMS Entertainment,"Adventure, Mystery, Comedy, Police, Shounen",[],"['""Anata ga Iru Kara (あなたがいるから)"" by Miho Komatsu']"
13135,889,Black Lagoon,Black Lagoon,BLACK LAGOON,,https://myanimelist.cdn-dena.com/images/anime/4/25596.jpg,TV,Manga,12,Finished Airing,False,"Apr 9, 2006 to Jun 25, 2006","{'from': '2006-04-09', 'to': '2006-06-25'}",24 min. per ep.,R - 17+ (violence & profanity),8.13,233227,394.0,98,449033,9708,,Spring 2006,Sundays at 02:35 (JST),"{'Adaptation': [{'mal_id': 735, 'type': 'manga', 'url': 'https://myanimelist.net/manga/735/Black_Lagoon', 'title': 'Black Lagoon'}], 'Sequel': [{'mal_id': 1519, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage', 'title': 'Black Lagoon: The Second Barrage'}], 'Alternative setting': [{'mal_id': 8440, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8440/Black_Lagoon_Omake', 'title': 'Black Lagoon Omake'}]}","Geneon Universal Entertainment, Shogakukan","Funimation, Geneon Entertainment USA",Madhouse,"Action, Seinen","['""Red Fraction"" by MELL']","['""Don&#039;t Look Behind"" by EDISON']"
13163,47,Akira,AKIRA,AKIRA（アキラ）,,https://myanimelist.cdn-dena.com/images/anime/2/82596.jpg,Movie,Manga,1,Finished Airing,False,"Jul 16, 1988","{'from': '1988-07-16', 'to': '1988-07-16'}",2 hr. 4 min.,R+ - Mild Nudity,8.16,190829,352.0,198,310133,5029,"Akira won the Silver Scream Award, the audience award of the Amsterdam-based Imagine Film Festival, in 1992 and was nominated for the American Anime Awards&#039; Best Anime Feature award in 2007.",,,"{'Adaptation': [{'mal_id': 664, 'type': 'manga', 'url': 'https://myanimelist.net/manga/664/Akira', 'title': 'Akira'}]}","Mainichi Broadcasting System, Kodansha, Toho","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural",[],"['""Kaneda"" by Geinoh Yamashiro-gumi']"
13180,15689,Nekomonogatari: Kuro,Nekomonogatari Black,猫物語（黒）,Nekomonogatari Black: Tsubasa Family,https://myanimelist.cdn-dena.com/images/anime/4/84001.jpg,TV,Light novel,4,Finished Airing,False,"Dec 31, 2012","{'from': '2013-12-31', 'to': '2013-12-31'}",24 min. per ep.,R - 17+ (violence & profanity),8.04,156843,512.0,271,253797,723,,Fall 2012,Mondays at 22:00 (JST),"{'Adaptation': [{'mal_id': 14893, 'type': 'manga', 'url': 'https://myanimelist.net/manga/14893/Monogatari_Series__First_Season', 'title': 'Monogatari Series: First Season'}], 'Sequel': [{'mal_id': 5081, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5081/Bakemonogatari', 'title': 'Bakemonogatari'}], 'Prequel': [{'mal_id': 31758, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen', 'title': 'Kizumonogatari III: Reiketsu-hen'}], 'Side story': [{'mal_id': 32268, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32268/Koyomimonogatari', 'title': 'Koyomimonogatari'}]}","Aniplex, Kodansha",Aniplex of America,Shaft,"Comedy, Supernatural, Romance, Ecchi","['""perfect slumbers"" by Tsubasa Hanekawa (Yui Horie)']","['""Kieru daydream (消えるdaydream)"" by Marina Kawano']"
13234,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Steins;Gate: The Movie − Load Region of Déjà Vu,劇場版 シュタインズゲート 負荷領域のデジャヴ,Steins Gate Movie,https://myanimelist.cdn-dena.com/images/anime/3/50317.jpg,Movie,Visual novel,1,Finished Airing,False,"Apr 20, 2013","{'from': '2013-04-20', 'to': '2013-04-20'}",1 hr. 30 min.,PG-13 - Teens 13 or older,8.58,166598,75.0,232,282422,1417,The series won the 2013 Newtype Anime Awards for Best Anime Film.,,,"{'Adaptation': [{'mal_id': 62951, 'type': 'manga', 'url': 'https://myanimelist.net/manga/62951/Gekijouban_Steins_Gate__Fuka_Ryouiki_no_Déjà_vu', 'title': 'Gekijouban Steins;Gate: Fuka Ryouiki no Déjà vu'}], 'Prequel': [{'mal_id': 10863, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania', 'title': 'Steins;Gate: Oukoubakko no Poriomania'}]}","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",Funimation,White Fox,"Sci-Fi, Drama","['""Anata no Eranda Kono Toki wo (あなたの選んだこの時を)"" by Kanako Ito']","['""Itsumo Kono Basho de (いつもこの場所で)"" by Ayane']"
13249,5258,Hajime no Ippo: New Challenger,Fighting Spirit: New Challenger,はじめの一歩 新シリーズ,"Hajime no Ippo New Series, Hajime no Ippo Season II, Hajime no Ippo 2",https://myanimelist.cdn-dena.com/images/anime/8/56617.jpg,TV,Manga,26,Finished Airing,False,"Jan 7, 2009 to Jul 1, 2009","{'from': '2009-01-07', 'to': '2009-07-01'}",23 min. per ep.,PG-13 - Teens 13 or older,8.73,77718,42.0,663,126037,1074,,Winter 2009,Wednesdays at 01:29 (JST),"{'Adaptation': [{'mal_id': 7, 'type': 'manga', 'url': 'https://myanimelist.net/manga/7/Hajime_no_Ippo', 'title': 'Hajime no Ippo'}], 'Prequel': [{'mal_id': 265, 'type': 'anime', 'url': 'https://myanimelist.net/anime/265/Hajime_no_Ippo__Mashiba_vs_Kimura', 'title': 'Hajime no Ippo: Mashiba vs. Kimura'}], 'Sequel': [{'mal_id': 19647, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising', 'title': 'Hajime no Ippo: Rising'}]}","VAP, Kodansha, Nippon Television Network",,Madhouse,"Comedy, Sports, Drama, Shounen","['""Hekireki"" by Last Alliance']","['""8 AM"" by coldrain']"
13349,2167,Clannad,Clannad,CLANNAD,,https://myanimelist.cdn-dena.com/images/anime/13/8498.jpg,TV,Visual novel,23,Finished Airing,False,"Oct 5, 2007 to Mar 28, 2008","{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,8.21,423019,298.0,31,739894,22941,"Clannad is the anime adaptation of the visual novel developed by KEY for Windows PCs in 2004, which was later ported to PlayStation consoles and the Xbox 360. The game was the best-selling PC game in 2004 and charted in national top 50 rankings several more times afterwards. Clannad has been adapted into four manga adaptations, an animated film, two anime series, two OVAs, comic anthologies, light novels and art books. The anime series and OVAs were licensed in North America by Sentai Filmworks in 2009. The first season of the animated series received positive to mixed reviews, while the second season Clannad After Story received wide critical acclaim.",Fall 2007,Fridays at 01:55 (JST),"{'Adaptation': [{'mal_id': 2598, 'type': 'manga', 'url': 'https://myanimelist.net/manga/2598/Clannad', 'title': 'Clannad'}, {'mal_id': 6997, 'type': 'manga', 'url': 'https://myanimelist.net/manga/6997/Clannad__Hikaru_Mimamoru_Sakamichi_de', 'title': 'Clannad: Hikaru Mimamoru Sakamichi de'}], 'Alternative version': [{'mal_id': 1723, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1723/Clannad_Movie', 'title': 'Clannad Movie'}], 'Alternative setting': [{'mal_id': 4059, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4059/Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen', 'title': 'Clannad: Mou Hitotsu no Sekai, Tomoyo-hen'}, {'mal_id': 6351, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6351/Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen', 'title': 'Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen'}], 'Sequel': [{'mal_id': 4181, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4181/Clannad__After_Story', 'title': 'Clannad: After Story'}]}","Pony Canyon, TBS, Movic, Animation Do",Sentai Filmworks,Kyoto Animation,"Slice of Life, Comedy, Romance, Supernatural, School, Drama","['""Megumeru ~cuckool mix 2007~ (メグメル～cuckool mix 2007～)"" by eufonius']","['""Dango Daikazoku"" by Chata']"
13351,6211,Tokyo Magnitude 8.0,Tokyo Magnitude 8.0,東京マグニチュード8.0,,https://myanimelist.cdn-dena.com/images/anime/10/13776.jpg,TV,Original,11,Finished Airing,False,"Jul 10, 2009 to Sep 18, 2009","{'from': '2009-07-10', 'to': '2009-09-18'}",22 min. per ep.,PG-13 - Teens 13 or older,8.16,70538,364.0,493,162220,1331,,Summer 2009,Fridays at 00:45 (JST),"{'Summary': [{'mal_id': 7654, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7654/Tokyo_Magnitude_80_Recap', 'title': 'Tokyo Magnitude 8.0 Recap'}]}","Dentsu, Fuji TV, Toho, Asmik Ace Entertainment, Sony Music Entertainment, Sakura Create",Maiden Japan,"Bones, Kinema Citrus",Drama,"['""Kimi no Uta(キミノウタ)"" by abingdon boys school']","['""M/elody"" by Shion Tsuji']"
13358,7720,Ookiku Furikabutte: Natsu no Taikai-hen,Big Windup! 2,おおきく振りかぶって　〜夏の大会編〜,"Oofuri, Big Windup! 2, Swing Big! 2, Ookiku Furikabutte 2, Ookiku Furikabutte The Summer Tournament Chapter",https://myanimelist.cdn-dena.com/images/anime/10/18671.jpg,TV,Manga,13,Finished Airing,False,"Apr 2, 2010 to Jun 25, 2010","{'from': '2010-04-02', 'to': '2010-06-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.14,14343,385.0,2242,27223,150,,Spring 2010,Unknown,"{'Adaptation': [{'mal_id': 994, 'type': 'manga', 'url': 'https://myanimelist.net/manga/994/Ookiku_Furikabutte', 'title': 'Ookiku Furikabutte'}], 'Prequel': [{'mal_id': 2159, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2159/Ookiku_Furikabutte', 'title': 'Ookiku Furikabutte'}], 'Side story': [{'mal_id': 9124, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9124/Ookiku_Furikabutte__Natsu_no_Taikai-hen_–_Mokuhyou', 'title': 'Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou'}]}","Aniplex, Mainichi Broadcasting System, TBS, Kodansha, Movic, Rakuonsha",Nozomi Entertainment,A-1 Pictures,"Comedy, Sports","['""Natsuzora"" (夏空) by Galileo Galilei']","['""Shisou Densha"" (思想電車) by CureaL']"
13369,846,School Rumble Ni Gakki,School Rumble 2nd Semester,スクールランブル 二学期,,https://myanimelist.cdn-dena.com/images/anime/5/75490.jpg,TV,Manga,26,Finished Airing,False,"Apr 3, 2006 to Sep 25, 2006","{'from': '2006-04-03', 'to': '2006-09-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.11,65095,426.0,797,108718,672,,Spring 2006,Unknown,"{'Adaptation': [{'mal_id': 160, 'type': 'manga', 'url': 'https://myanimelist.net/manga/160/School_Rumble', 'title': 'School Rumble'}], 'Prequel': [{'mal_id': 24, 'type': 'anime', 'url': 'https://myanimelist.net/anime/24/School_Rumble', 'title': 'School Rumble'}, {'mal_id': 517, 'type': 'anime', 'url': 'https://myanimelist.net/anime/517/School_Rumble_Ichi_Gakki_Hoshuu', 'title': 'School Rumble Ichi Gakki Hoshuu'}], 'Sequel': [{'mal_id': 4015, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4015/School_Rumble_San_Gakki', 'title': 'School Rumble San Gakki'}]}","Sotsu, Marvelous, Studio Jack",Funimation,Studio Comet,"Comedy, Romance, School, Shounen","['""Sentimental Generation"" by Ami Tokito']","['#1: ""Kono Namida ga Arukara Tsugi no Ippo to Naru"" by Ami Tokito (eps 1-12, 14-16)', '#2: ""The Last Candle"" (ep 13)', '#3: ""Futari wa Wasurechau"" by Ami Koshimizu & Mamiko Noto (eps 17-26)']"
